CustomerKey,Name,Education,Occupation
18813,Unknown Customer,Not Specified,Not Specified
4751,Martinez Kaitlin,Partial College,Professional
4760,Brooks Erin,Bachelors,Management
4764,Young Xavier,Partial College,Professional
4773,Anderson Christopher,Partial High School,Skilled Manual
4774,Jenkins Dylan,Partial High School,Skilled Manual
4775,Kelly Natalie,High School,Professional
4776,Ward Michelle,High School,Professional
4777,Mitchell Jesse,High School,Professional
4778,Smith Brianna,High School,Professional
4779,Miller José,Partial College,Professional
4781,Mcdonald Claudia,Partial College,Professional
4782,Evans Blake,Bachelors,Management
4783,Collins Katelyn,Partial College,Professional
4815,Subram Monica,High School,Skilled Manual
17160,Yang Tamara,Bachelors,Professional
17163,Ward Bruce,Partial College,Skilled Manual
17165,Coleman Gabrielle,Partial College,Skilled Manual
17599,Russell Wyatt,High School,Clerical
17600,Perry Stephanie,High School,Clerical
17602,Gonzales Christian,High School,Clerical
17604,Bell Brian,Partial High School,Clerical
17605,James Allison,Partial High School,Clerical
17607,Wilson Joshua,Partial High School,Clerical
5963,Coleman Zachary,Graduate Degree,Professional
5964,Hughes Faith,Graduate Degree,Professional
5966,Romero Kristi,Bachelors,Skilled Manual
5967,Diaz Amanda,High School,Skilled Manual
5968,Hernandez Noah,Graduate Degree,Professional
5969,Griffin Ian,Graduate Degree,Professional
5971,Foster Katherine,Bachelors,Skilled Manual
15265,Lal Elijah,Partial High School,Clerical
15266,Lopez Tammy,Partial High School,Clerical
15267,Gao Brent,High School,Skilled Manual
15269,Romero Jonathon,Partial High School,Clerical
15272,Baker Bailey,Partial High School,Clerical
13528,Coleman Gavin,Graduate Degree,Management
13529,Hernandez Katherine,Graduate Degree,Management
13530,Martinez Jillian,Graduate Degree,Management
13531,She Franklin,Graduate Degree,Management
13999,Martinez Olivia,Graduate Degree,Management
14000,Jai Shaun,Graduate Degree,Management
14155,Serrano Clinton,Bachelors,Management
14156,Alonso Theresa,Bachelors,Management
14162,Flores Isabella,Bachelors,Management
14163,Morris Bryan,Bachelors,Management
14170,Peterson Angel,Graduate Degree,Management
14185,Tang Peter,Partial College,Professional
14186,Reed Jade,Bachelors,Management
14192,Gonzales Austin,Graduate Degree,Management
14966,Roberts Andrea,Graduate Degree,Management
14967,Watson Alex,Graduate Degree,Management
15058,Subram Barry,Bachelors,Management
15060,Anderson Andrew,Graduate Degree,Management
15061,Edwards Kyle,Graduate Degree,Management
15062,Butler Connor,Graduate Degree,Management
15066,Powell Chloe,Bachelors,Management
15083,Johnson Christian,Bachelors,Management
15084,Smith Alyssa,Partial College,Professional
15085,Jenkins Luke,Bachelors,Management
15090,Rai Terry,Bachelors,Management
15091,Moreno Mathew,Bachelors,Management
15092,Bennett Chloe,Bachelors,Management
15099,Lee Daniel,Graduate Degree,Management
15107,King Connor,High School,Professional
15108,Thomas Alexis,Bachelors,Management
15109,Thompson Dylan,Graduate Degree,Management
15204,Hall Nicole,Bachelors,Management
15539,Black Warren,Graduate Degree,Management
15541,Sanchez Jada,Graduate Degree,Management
15594,Campbell Eduardo,Graduate Degree,Management
15685,Andersen Dustin,Bachelors,Management
15691,Bennett Alexia,Bachelors,Management
15692,Suri Tina,Bachelors,Management
15699,Rivera Brooke,Partial College,Professional
15705,Alvarez Frank,Bachelors,Management
15706,Jenkins Eric,Partial College,Professional
15708,Brooks Sydney,Bachelors,Management
15709,Washington Katherine,Partial College,Professional
15723,Mcdonald Alexandra,Partial College,Professional
15724,Kelly Devin,Bachelors,Management
16453,Watson Evan,Bachelors,Management
16460,Kumar Kevin,Graduate Degree,Management
16461,Goel Grant,Graduate Degree,Management
16528,Sanchez Tina,Bachelors,Management
16529,Stewart Jade,Graduate Degree,Management
16530,White Rachel,Graduate Degree,Management
16616,Henderson Maria,Bachelors,Management
16620,Lee Joseph,Partial College,Professional
16621,Hughes Nicole,Graduate Degree,Management
16622,Brown Edward,Graduate Degree,Management
16631,Coleman Xavier,Bachelors,Management
16632,Phillips Gabriella,Bachelors,Management
16641,Thomas Lauren,Partial College,Professional
16642,Alexander Miranda,Partial College,Professional
16646,Anand Colin,High School,Professional
16647,Li Jackson,Bachelors,Management
16648,Moore Daniel,Partial College,Professional
16662,Martinez Christopher,Graduate Degree,Management
16664,Collins Aaron,Graduate Degree,Management
16665,Roberts Luis,Bachelors,Management
17076,Jones Edward,Graduate Degree,Management
17077,Williams Logan,Graduate Degree,Management
17084,Foster Kaitlyn,Graduate Degree,Management
17085,Mcdonald Cameron,Graduate Degree,Management
17147,Washington Gavin,Graduate Degree,Management
17236,Rogers Cole,Bachelors,Management
17237,Diaz Isabel,Bachelors,Management
17238,Foster Hailey,Bachelors,Management
17239,Flores Dalton,Bachelors,Management
17243,Butler Madison,Partial College,Professional
17244,Cook Marcus,Bachelors,Management
17245,Davis Samantha,Bachelors,Management
17253,Murphy Sydney,Bachelors,Management
17254,Green Jeremiah,Bachelors,Management
17260,Mitchell Samuel,Bachelors,Management
17268,Young Jordan,Partial College,Professional
17269,Campbell Jordan,High School,Professional
17288,Bennett Lauren,Partial College,Professional
17289,Srini Marco,Partial College,Professional
17290,Gonzales Jack,Partial College,Professional
18049,Harris William,Bachelors,Management
18128,Murphy Bryan,Bachelors,Management
18129,Reed Alyssa,Graduate Degree,Management
18130,Watson Timothy,Graduate Degree,Management
18220,Arun Darren,Graduate Degree,Management
18221,Ramos Melinda,Graduate Degree,Management
18222,Bennett Kelly,Bachelors,Management
18229,Campbell Courtney,Graduate Degree,Management
18235,Lopez Kevin,Bachelors,Management
18236,Rogers Isaiah,Partial College,Professional
18237,Young Eric,Partial College,Professional
18239,Powell Xavier,Partial College,Professional
18240,Miller Samantha,Partial College,Professional
18244,Torres Jared,Bachelors,Management
18245,Ross Eric,Bachelors,Management
18246,Roberts Angel,Bachelors,Management
18252,Zhou Mandy,Bachelors,Management
18253,Parker Alex,Bachelors,Management
18262,Turner Robert,Graduate Degree,Management
18275,Green Miguel,High School,Professional
18355,Edwards Isaiah,Graduate Degree,Professional
82,Baker Savannah,Bachelors,Management
83,Butler Angela,Graduate Degree,Management
84,Cox Alyssa,Graduate Degree,Management
174,Thomas Sarah,Graduate Degree,Management
175,Robinson Nicholas,Graduate Degree,Management
